Class1,Class2
6.331586504129518289e+00,8.117475661026638534e+00
5.715278974398405154e+00,6.092543111875599493e+00
3.454599707888731608e+00,7.077090735151053913e+00
4.991616150071477520e+00,8.469751434083043762e+00
5.621335973890480453e+00,7.855633236973035949e+00
4.279914439281102823e+00,7.599861648014271331e+00
5.265511585692119745e+00,7.704016147060787745e+00
5.108548525714969202e+00,8.848208609021655846e+00
5.004291430934033613e+00,8.706830454751635529e+00
4.825399789407058826e+00,7.212731073752813415e+00
5.433026189953597651e+00,8.292940724831966648e+00
6.203037373812211541e+00,7.529192748514482503e+00
4.034934329483236937e+00,1.040432560593735012e+01
6.028274077982704426e+00,7.260643261491328104e+00
5.228630130124659381e+00,7.687171242662910409e+00
5.445137612830348139e+00,7.651118081782506408e+00
3.863397788168955849e+00,7.560973763779985646e+00
5.135136878448635755e+00,8.141104168064432045e+00
6.484537001836581993e+00,8.273049320095310577e+00
3.920195114214723997e+00,6.381429252184204870e+00
3.022271719342092933e+00,7.426886638440410415e+00
3.256627704101092924e+00,6.679552454108543813e+00
5.266070164000550946e+00,9.236205326186816222e+00
7.384967330711097233e+00,1.046532508206147583e+01
6.123691253409423219e+00,9.383232229535519053e+00
6.672622213307827899e+00,8.346233115351182619e+00
5.099149215835243609e+00,9.022516107234135774e+00
6.397996377093575049e+00,8.166810267019732450e+00
4.728752012034219021e+00,9.656716624478292488e+00
5.613204184859639234e+00,8.667889608833442949e+00
4.732682811326431427e+00,7.770053356225277597e+00
4.450690985894521390e+00,6.870448805566208961e+00
5.132708295759950801e+00,7.360037395771501956e+00
4.523857985072663013e+00,8.313830521559005149e+00
6.308473080863477911e+00,6.774164019261945668e+00
5.195013279233092973e+00,7.778206863600505727e+00
5.400209988252347770e+00,9.339926309957553130e+00
4.662367662914468802e+00,8.029309710943170586e+00
6.256472263755155083e+00,9.985385746089388448e+00
4.268030497998791972e+00,9.447165600668222751e+00
5.660231551226313051e+00,7.712370586349419632e+00
4.649128108560129036e+00,6.640689426894001102e+00
4.060566640237448510e+00,7.951958674770579272e+00
4.510662783115348518e+00,7.519212659867975823e+00
4.195408857730045682e+00,8.377753085965341739e+00
4.787302361289488495e+00,9.614407974145464664e+00
4.660859753936565042e+00,6.876895964775616932e+00
5.312169936313222429e+00,7.611272053145189176e+00
5.565152669656627360e+00,8.332349949531517197e+00
4.852579742272980390e+00,9.134973173081906594e+00
4.974094663183813658e+00,8.510714411397863444e+00
5.289094203803935024e+00,8.414297641194009358e+00
4.460120928667298479e+00,9.344549423365940299e+00
5.708160019926603823e+00,8.493515317248288454e+00
5.842224738382655325e+00,7.762995815476519290e+00
5.203580797327478358e+00,8.057285150156017650e+00
7.394703664884534788e+00,7.292928552932836261e+00
5.917458937510429173e+00,8.546664837534533987e+00
4.887727528805839938e+00,8.942500408940139422e+00
4.637819552857759930e+00,5.020403228938866036e+00
4.767817744055909301e+00,9.218148850351047585e+00
4.498271100405133005e+00,7.943479276917409848e+00
6.128785153109877371e+00,8.460888452398865667e+00
4.302189969528285474e+00,8.662374011724633505e+00
4.918877816183053753e+00,5.704896671037376521e+00
4.470703919000511561e+00,6.804070688536482336e+00
6.046182856808264283e+00,7.666898837862165195e+00
3.581443970776605035e+00,7.208609229032556520e+00
4.637500816844359441e+00,8.274172780760107315e+00
4.878094308838111459e+00,7.485090077528748331e+00
5.319356421091224085e+00,6.288928802845735078e+00
5.460902901671718546e+00,8.612297312498549573e+00
4.784210107669478518e+00,9.100129374013327777e+00
5.989072457499439395e+00,8.564352526386118214e+00
5.314753778811733831e+00,7.287200563172939738e+00
7.467651056434602808e+00,7.739140521445825094e+00
3.491678512836783987e+00,8.548428066295825190e+00
5.620600663008612941e+00,8.603199050230591283e+00
3.954867462485562424e+00,9.006861138624822516e+00
4.201991182327756036e+00,7.705573992610057488e+00
6.985084591425731126e+00,6.579119484845765697e+00
6.744814148339301596e+00,7.321053225379959173e+00
3.143814519388851814e+00,8.533884809310874786e+00
4.777226300897000399e+00,8.743974403785923499e+00
4.934152152288798554e+00,1.022504963882319373e+01
2.868287891518396027e+00,8.117181420194482300e+00
4.951169488661246731e+00,8.244614520264990531e+00
5.393341217081739636e+00,7.822701177354432822e+00
5.217265145118039626e+00,7.594270472350907575e+00
3.005606230258942801e+00,8.781775190375615381e+00
6.107708234782649903e+00,8.353477613803850232e+00
5.244543976647989325e+00,7.792720514278562050e+00
4.938087970507595514e+00,6.920302616041151822e+00
4.246107039252300375e+00,7.876930171489860300e+00
5.711959016519839949e+00,7.609017814693596726e+00
5.918269151479415235e+00,9.255173731709572138e+00
4.517906861164521004e+00,8.947126078175188013e+00
5.089587612589515864e+00,6.977689307722605427e+00
5.826998622662265426e+00,9.167168368404118084e+00
3.045487879998495018e+00,7.428023186712233716e+00
