X,Y
3.489172772888122331e+00,4.204451747286528374e+00
6.342547836948511097e+00,6.334163987019989506e+00
4.821950042685148041e+00,4.101864481966250864e+00
4.715785958934050726e+00,4.824334484649020816e+00
5.083583617089011852e+00,4.908983406496069790e+00
4.023469632090092674e+00,5.226507005902304215e+00
5.321634347996427650e+00,6.349908425979132076e+00
4.579431692826329225e+00,5.024569305656676477e+00
5.916757950218948459e+00,6.051894828667583326e+00
4.254255686444172291e+00,3.174450800658895844e+00
7.584449080782121655e+00,5.841076784883213691e+00
3.577092813430882590e+00,5.962060144141979379e+00
3.190543721883148276e+00,4.863165935190976619e+00
4.215136071774584714e+00,5.613132448868160651e+00
4.928305555873961907e+00,5.541509740733601141e+00
5.506157983312287563e+00,4.956848969206808952e+00
5.123142252042612199e+00,4.647000237115275212e+00
3.769322432187591776e+00,3.964335711420685193e+00
4.822224151867960273e+00,4.484591814782429076e+00
4.277847851438098203e+00,3.545878349436890176e+00
4.603658649977941941e+00,4.252786758538070089e+00
6.058241763159260884e+00,5.568904546274609402e+00
5.803145188220975470e+00,5.590447549510463965e+00
5.137619100380028669e+00,5.449789036693251099e+00
4.584273559924275432e+00,4.436853302197255822e+00
4.877887577874441938e+00,5.166981781678376962e+00
5.113468980782368334e+00,5.821629000708972157e+00
4.168821582201178266e+00,4.372402379528656624e+00
2.467396322919080731e+00,3.384855260429510793e+00
5.278321035770919600e+00,4.916140588628679531e+00
5.451940181752997105e+00,4.950211282158129222e+00
4.371348397227996507e+00,3.673538366756281981e+00
5.334901912495690013e+00,4.805605831496202462e+00
4.803257083611963019e+00,3.384701054388568053e+00
5.374886347044837365e+00,5.252980655882948824e+00
4.492977775637460702e+00,4.953880677309178360e+00
4.692343299888420916e+00,5.681415757387860310e+00
3.493589703394588852e+00,5.961240759829192548e+00
5.995944393452962373e+00,6.616545056461575314e+00
6.304115736645317547e+00,5.506106918973073583e+00
2.408459240994613282e+00,4.153273389333914878e+00
6.718890629896581146e+00,6.496116930793581545e+00
6.122881963143231410e+00,3.991169854661626992e+00
4.845617854758274667e+00,5.238959071840014303e+00
5.809039749841393707e+00,3.814645980100336509e+00
3.918424540373013354e+00,4.162968517021003123e+00
5.430563870714123276e+00,4.676670909966423650e+00
3.924290829500726385e+00,4.842559980980142065e+00
5.372711098926945539e+00,5.462298711516461402e+00
5.261054243880489700e+00,3.306542123878984718e+00
5.851991537286761691e+00,3.944534649162361184e+00
5.564387151705686207e+00,6.034138585788729081e+00
5.325094460236343252e+00,4.924956108250614584e+00
4.832225231244526853e+00,5.680433840266183587e+00
4.781501333140170118e+00,3.994232406892983533e+00
4.981709516235248714e+00,4.510902264749731216e+00
3.287471315543177841e+00,2.548114577034505945e+00
5.445358609996983290e+00,5.096476691779490586e+00
5.309655789462183861e+00,5.450759957526615906e+00
5.572817726219289725e+00,3.954246978403494595e+00
6.156554503304628057e+00,4.836106957413172758e+00
2.696752242197851146e+00,5.162077324259327860e+00
